Timestamp,k,Thresholds,PSNR,SSIM,OA,Kappa
2025-06-05 21:47:05,10,"[0, np.int32(27), np.int32(50), np.int32(74), np.int32(99), np.int32(124), np.int32(149), np.int32(175), np.int32(201), np.int32(228), 255]",7.90,0.2021,0.2679,0.2246
2025-06-05 21:47:34,12,"[0, np.int32(20), np.int32(39), np.int32(59), np.int32(80), np.int32(102), np.int32(124), np.int32(146), np.int32(168), np.int32(189), np.int32(211), np.int32(233), 255]",8.78,0.2142,0.2647,0.2213
2025-06-05 21:47:50,14,"[0, np.int32(16), np.int32(33), np.int32(49), np.int32(66), np.int32(83), np.int32(101), np.int32(120), np.int32(138), np.int32(157), np.int32(176), np.int32(195), np.int32(215), np.int32(235), 255]",9.50,0.1969,0.2734,0.2306
2025-06-05 22:10:23,10,0|29|54|79|104|129|154|179|204|230|255,7.9622,0.0600,0.0000,0.0000
2025-06-05 22:10:30,12,0|20|39|59|80|101|122|143|165|187|209|232|255,8.7199,0.0154,0.0000,0.0000
2025-06-05 22:10:37,14,0|15|31|48|66|85|104|124|143|162|180|198|217|236|255,9.6455,-0.0390,0.0000,0.0000
2025-06-05 22:19:17,10,0|29|53|77|102|127|152|178|204|230|255,7.9417,0.0589,0.0000,0.0000
2025-06-05 22:19:26,12,0|20|39|60|82|104|127|149|171|192|213|234|255,8.8441,0.0247,0.0000,0.0000
2025-06-05 22:19:32,14,0|14|30|46|63|81|99|117|136|155|174|193|213|234|255,9.4412,-0.0514,0.0000,0.0000
2025-06-05 22:24:03,10,0|29|53|77|102|128|154|180|205|230|255,7.9673,0.0607,0.0000,0.0000
2025-06-05 22:24:10,12,0|18|36|55|75|96|117|139|162|184|207|231|255,8.6430,0.0112,0.0000,0.0000
2025-06-05 22:24:16,14,0|20|39|59|80|100|119|137|155|172|188|204|221|238|255,9.9692,-0.0215,0.0000,0.0000
2025-06-09 21:03:59,10,0|32|58|84|109|134|159|183|207|231|255,8.0295,0.0647,0.0000,0.0000
2025-06-09 21:04:14,12,0|21|42|65|88|110|132|154|175|195|215|235|255,8.9414,0.0305,0.0000,0.0000
2025-06-09 21:04:25,14,0|19|37|56|75|95|114|133|152|170|187|204|221|238|255,9.8975,-0.0247,0.0000,0.0000
